"Risk of automation"
"% of total employment of jobs at highest risk of automation, 2019"
"Category";"Risk of automation"
"Hungary";36,37
"Slovak Republic";35,74
"Czechia";35,19
"Poland";33,54
"Lithuania";31
"Slovenia";30,98
"Latvia";30,47
"Portugal";30,12
"Italy";30,07
"Estonia";29,78
"Germany";28,7
"Austria";28,14
"Spain";27,99
"Greece";27,56
"France";27,39
"Average";26,77
"Finland";25,63
"Belgium";25,57
"Ireland";22,49
"Denmark";22,36
"Switzerland";21,96
"Iceland";21,92
"United States";21,18
"Norway";21
"Netherlands";20,93
"Sweden";20,14
"United Kingdom";18,96
"Luxembourg";17,65
